intent,utterance
10,"i changed my mind, what can i do to delete my account?"
12,"I want to make a review, what should I do?"
6,"you're not helping, can you contact a human agent?"
3,can you tell me how I can download some bills?
2,I want to see the mail address to contact Customer Support
11,"I'm discontent  with the service, submit a complaint"
1,i need help creating an online account
8,someone stole my account password and I want to reset it
4,can you tell me how I can check my orders?
0,can you ask an agent if I could report issues making a payment?
2,I want to know what the mail of Client Service is
2,"I have a question, what do I have to do to contact Client Service?"
1,can you tell me if I can create two user accounts with the same email?
0,"I have an issue making a payment, notify it"
12,"I'm happy with the service, what do I have to do to lodge a review?"
10,"ask an agent how I could cancel my online account, please"
9,"i want to change my fucking order, could you tell me where to do it, please?"
5,"the show was postponed, what should I do to obtain a reimbursement?"
0,help me report problems with my payment
0,how to notify an issue with my payment
10,"i dont want my account, what do i have to do to remove it?"
12,"I'm happy with the service, what should I do to lodge an opinion?"
8,"my account has been hacked, what can i do to get it back?"
1,"I don't have an account, what do I have to do?"
6,"I can't understand you, can I talk to a fucking human?"
8,"I lost my account password, can you help me?"
10,"I changed my mind, can you cancel my online account?"
2,what's the mail address of Client Service?
12,"i wanna file an opinion for a service, can u help me?"
0,"please , could you ask an agent to solve issues paying?"
7,"ask an agent where i can see my bills , please"
2,whats the mail of customer service?
2,show me the free phone number to contact Client Service
1,"I need a user account, open one"
10,"I changed my mind, what do I have to do to close my account?"
1,how can I open an online account?
9,I ordered an item and I want to modify my order
2,i want to know what the mail address of client service is
5,"the event was postponed, what do I have to do to request a refund?"
2,i want information and i want to talk to customer service
1,"I haven't got an online account, what should I do to open one?"
9,"i ordered an item, what do i have to do to change my purchase?"
10,ask an agent where to close my online account
5,"the game was postponed, what do I have to do to obtain a refund?"
1,"I'd like to create an online account, what do I have to do?"
3,ask an agent if i can obtain some invoices
12,"please, can u ask an agent ot leave a comment?"
1,can you tell me if I can register more than one account with the same mail?
8,"I lost my password, what can I do to retrieve it?"
2,"I want information, help me contact Client Service"
1,can you tell me if I can have more than one user account?
6,"I don't understand you, help me talk to someone"
4,can you give me information about the status of my purchase?
6,"I don't understand you, how do I talk to a human?"
2,I want to see the number to contact Customer Service
8,how do i recover my account password?
7,"i didn't receive my bills, how can i see them?"
9,"i bought a product, what should I do to change my purchase?"
4,I want to know ho to track  my deliveries
9,"I bought an item, what should I do to modify my order?"
4,"I want to see the staus of my purchase, what do I have to do?"
4,"I want to check my shipments, tell me where I can do it"
4,"i want to track my packages, could you tell me where I can do it?"
8,"I can't remember my password, what should I do to retrieve it?"
4,tell me how to know where m deliveries are
10,I don't want my user account and I want to delete it
6,how do I speak with a person?
11,i dont like the service and i wanna submit a consumer complaint
6,"you're not helping, I need help speaking with someone"
6,"you're not helping , can I contact a human agent?"
4,"I want to check my shipment, can you tell me where to do it?"
11,"I'm not happy with the service, can I file a consumer omplaint?"
2,tell me what the free no to contact Customer Support is
1,I want to know if I can create more than one online account with a single email address
9,"I made a mistake, what can I do to change my purchase?"
6,"I do not understand you, could you talk to a person?"
9,"I purchased an item, what do I have to do to change my purchase?"
1,i wanna know if i can create two profiles with the same email
6,i wanna talk to a human
0,"I have an issue paying, can I notify it?"
9,"I want to change my purchase, can you tell me where I can do it?"
2,"I need information, what can I do to send an email to Client Service?"
7,i can't find my invoice and i want to see it
9,"I made a mistake, I need help modifying my order"
5,"the show was postponed, what should I do to get a reimbursement?"
5,"the show was cancelled, how can I get a reimbursement?"
2,can u ask an agent how to call customer service?
1,help me open a user account
9,"I would like to change my purchase, can you tell me how to do it?"
3,"I want to get a bill, tell me where I can do it, please"
1,"I don't have  a user account, what should I do to register?"
12,"im happy with the service, help me submit an opinion"
9,"i purchased a product, what do I have to do to modify my order?"
6,"you're not helping, can I talk to a human agent?"
7,"i lost my fucking bill and i wanna see it, please"
5,"I need a reimbursement, help me get one"
3,tell me how I can see some invoices
8,ask an agent to recover my account password
7,"I can't find my bill, I need help viewing it"
10,"I changed my mind, can I close my online account?"
11,help me make a consumer complaint for a service
2,I want to see the free phone number to contact Customer Support
3,"I want to download some bills, tell me how to do it"
2,ask an agent what the mail address of the Customer Support
1,I want to know if I could create two fucking user accounts with a single email address
10,"I want to cancel my profile, how can I do it?"
1,can you tell me if i can register several online accounts with the same email?
10,I need help deleting my account
4,"I want to track my packages, tell me where to do it"
0,i have an issue when tryingto make a payment with card and i want to notify it
10,"I changed my midn, can you delete my profile?"
3,"could you ask an agent how I can request an invoice, please?"
8,"I want to recover my password, what do I have to do?"
0,"I have an issue paying for my order, what do I have to do to notify it?"
0,"I have a problem paying with card, help me notify it"
5,"the concert was cancelled, get a reimbursement"
3,tell me how to obtain some invoices
10,"i dont want my account, can i close it?"
7,"I didn't receive my invoices, what do I have to do to check them?"
4,can I check my order?
6,"you arent helping, what can i do to talk to a human agent?"
10,"I changed my mind, what can I do to cancel my user account?"
2,"I want information, how do I speak with Client Service?"
1,"I don't have an online account, how do I register?"
0,where can I notify a payment issue ?
3,where can I request a bill?
3,tell me how I can download some invoices
7,I lost my bill and I want to see it
6,you arent helping and i wanna talk to a human
10,"I don't want my profile, what should I do to delete it?"
3,"i want to request a bill, can you tell me where to do it?"
0,"I have a problem when trying to make a payment, what should I do to report it?"
4,tell me where I can check my package
7,"I didn't receive my invoices, what can I do to view them ?"
11,"I'm not happy with the service, what should I do to lodge an complaint?"
2,whta's the email address of the Customer Service ?
9,"I bought something, what do I have to do to change my purchase?"
8,"my online account was hacked, how can I recover it?"
7,can u ask an agent were to see my invoice?
0,i want to notify payment issues
4,can you check the status of my order?
11,"i dont like the service, what do i have to do to file a complaint?"
8,"my user account was hacked, can i get it back?"
9,I want to know where to modify my order
1,"I have no online account, open one, please"
1,i wanna know if i can register more than one user account with a single email address
3,"i want to see some invoices, can you give me some information?"
13,ask an agent where to see their money back policy
10,"i changed my mind, what can i do to delete my fucking profile?"
11,I'm discontent with the service and I want to make a complaint
10,"I changed my mind, I need help closing my profile"
4,is it posaible to check my shipments?
0,"I want to notify a problem with my oayment, what do I have to do?"
10,"I odn't want my user account, how do I delete it?"
1,"i wanna know if i can create several fucking online accounts with a single email, please"
0,ask an agent where I could report a fucking issue making a payment
3,"I wanna request some invoices, can you tell me how I can do it?"
10,"I don't want my profile, what should I do to cancel it?"
7,ask an agent if i can see my invoice
10,I don't want my online account
10,"I want to remove my user account, how can I do it?"
10,"I don't want my account, can I cancel it?"
8,"I lost my password, can I reset it?"
5,"the show was postponed, could I request a fuckingreimbursement?"
10,"I changed my mind, I ned help canceling my account"
6,"you're not helping, what should I do to speak with a human?"
7,"I lost my bills, what do I have to do to check them?"
12,can u ask an agent if i can leave a comment?
2,"I want information, speak with Customer Support"
13,ask an agent what their reimbursement policy is
4,"I want to track my shipments, tell me how I can do it"
3,can I request an invoice?
13,ask an agent to find information about there refund policy
5,"the concert was cancelled, request a refund, please"
1,can I have several user accounts?
0,"an erorr pops when  I try to make a payment with card, what should I do?"
6,you arent helping and i want to speak with a human agent
1,help me create an accout
9,i ordered something and i wanna change my purchase
4,"I want to track my orders, can you tell me how I can do it?"
9,"I made a mistake, help me modify my order"
9,where do I change my purchase?
3,can you tell me how to obtain some bills?
1,"I have no user account, what can I do to open one?"
11,"I don't like the service, what should I do to lodge a complaint?"
7,"I can't find my invoices, what do I have to do to see them?"
1,"i havent got an account, what can i do to create one?"
7,where do i view my bill?
8,"ask an agent if i could reset y account password, please"
5,"the concert was postponed, can I get a refund?"
13,can you tell me if service fees are refundable?
6,"i dont understand you, how can i speak with a person ?"
7,"I can't find my invoices, how can I check them?"
0,how can I solve a problem with my payment?
3,I want to request information about seeing some bills
4,I want to know if my package is on its way
1,ask an agent how i could create a user account
3,how can I download a bill?
1,"I have no user account, help me register"
7,ask an agent how i can view my invoices
7,can you give me information about my invoice?
3,what information can u tell me about getting a bill?
0,"I have a problem making a payment with card, I need help reporting it"
7,"I didn't receive my bills, can you show them?"
0,"I have an issue paying for my online order, report it"
11,"I'm  discontent with the service, how do I file a complaint?"
3,information about seeing some bills
1,"I sant a user accountg, what can I do?"
5,ask an agent to get a reimbursement
4,is my order out for delivery?
5,"the event was cancelled, can I request a  refund?"
1,"I have no account, can you open one?"
8,I forgot my password
3,acn you download a bill?
9,"I purchased an item, what can I do to change my order?"
8,"my profile's been hacked, can u get it back?"
10,"I don't want my online account, can you close it?"
11,"I don't like the service, I need help filing a consumer complaint"
6,"i cant understand you, i need help speaking with a humanagent, please"
12,I'm happy with the service and I want to make a review
4,i want to know where my order is
10,can u ask an agent where to remove my profile?
1,"I want a profile, what can I do to create one?"
9,I want to make a change in my purchase
1,i dont have an account and i want to create one
7,"I didn't receive my invoices, what do I have to do to see them?"
0,"I have a problem paying for my order, can I inform of it?"
1,i want a user account and i wanna create one
9,"I want to change my order, can you show me some information?"
0,"I have a problem when trying to pay with card, inform of it"
5,"the event was postponed, what should i do to get a reimbursement?"
0,"I got an error when I attempted to make a payment, but I was charged anyway, how do I notify it?"
13,can you find information about your refund policy?
2,how to talk to Customer Support
9,"I purchased something, how do I modify my purchase?"
8,"someone stole my password, what do i have to do to reset it?"
7,can I see my bill?
0,I want to notify problems with my paymen
8,"my profile's been hacked, help me recover it"
8,"ask an agent how I could recover my account password, please"
6,I can't understand you
4,"please, could u ask an agent where i could track my fucking purchase?"
8,"my online account was hacked, what should I do to get it back?"
9,"I would like to modify my fucking order, tell me where I can do it, please"
12,"I'm happy with the service, I need help lodging an opinion"
3,"I wanna see some bills, tell me how to do it"
7,ask an agent if i can view my bills
8,"I forgot my account password, what do I have to do to recover it?"
11,"I don't like the service , help me lodge a consumer complaint"
7,"I can't find my bill, I need help seeing it"
4,"i wanna track my purchase, what can i do?"
11,"please, could you ask an agent how I can lodge a complaint for a service?"
5,"the show was cancelled, what should I do to get a refund?"
11,"I don't like the service, lodge a complaint"
0,could you ask an agent how I can notify a problem paying?
0,"I ahve a problem when trying to pay for my online order, what should I do to inform of it?"
2,I wqnt to see the phone number to contact Customer Support
0,"ask an agent how I could inform of a fucking problem making a payment, please"
6,"I can't unedrstand you, how do I contact someone?"
13,can Isee your moey back policy?
2,tell em what the email of the Client Service is
3,can you tell me how I can obtain soem invoices?
7,i didn't receive my bill and i wanna check it
1,can you tell me if i could have several accounts?
10,"I changed my mind, how do I cancel my profile?"
0,"I got an error message when I attempted to pay, but my card was charged anyway, I need help informing of it"
6,i need help talking to a person
6,how to talk to someone
1,can i register several profiles with a single email address?
12,"I'm happy with the service, can you lodge a comment?"
2,can u show me the email address to contact customer service?
6,"you're not helping, can I contact a human, please?"
11,where to lodge a consumer complaint for a service
5,"the concert was cancelled, what can I do to obtain a refund?"
12,how do I write a review for a service?
8,"someone stole my password , can you reset it?"
9,I want to know how to modify my order
3,i wanna obtain some bills
4,help me check my package
3,"I want to obtain a bill, can you tell me where to do it?"
4,can u ask an agnt to show me the status of my order?
5,"the show was postponed, what do I have to do to get a refund?"
9,"I want to change my order, tell me how to do it"
12,"I'm happy with the service, help me submit a comment"
5,"please, ask an agent where I could obtain a reimbursement"
4,could u ask an agent how to view the status of my purchase?
0,"ask an agent how to solve issues making a payment, please"
13,I need information about your refund policy
5,i want to obtain a refund
7,can I check my bill?
5,"could you ask an agent what I can obtain a reimbursement for, please?"
2,"I want information, can I speak with Client Service?"
6,"i dont understand you, can ui speak with a person?"
12,"I'm happy with the serfvice, how can I submit a review?"
12,"I'm happy with the service, how can I make an opinion?"
13,show me your remibursement policy
2,can u show me the number of client service?
3,can you ask an agent for information about downloading a bill?
6,"I don't understand you , speak with a human agent"
2,"I want information, can you speak with Client Service?"
4,can you tell me where I can trrack my shipment?
10,"I changed my mind, can I remove my profile?"
5,"the show was postponed, what can i do to obtain a refund?"
4,can you tell me if I can check my shipments?
7,"I lost my bills, I need help seeing them"
10,I changed my mind and I want to close my online account
3,I want information about getting an invoice
9,"i purchased an item, how can I change my order?"
6,"you're not helping, how can I contact a human agent?"
3,can you tell me if I can get a biol?
10,"please, can you ask an agent how to close my usder account?"
12,"I'm happy with the service, how can I lodge a comment?"
4,track  my packages
8,"my profile was hacked, what do i have to  do to recover it?"
10,where can I close my account?
10,"I don't want my account, delete it"
9,i bought something and I wanna change my order
9,I ordered something and i want to change my purchase
9,"i purchased a product, how could i modify my purchaes?"
5,"i nedea refund, how do i request one?"
7,where to see my bgill
9,"I bought a prodjct, can I change my purchase?"
9,"i want to change my purchase, tell me how I can do it"
13,I don't know anything about your money back guarantee
10,"i changed my mind, i need help deleting my fucking online account, please"
0,"i got an eror when i tried to make a payment, but my card was charged anyway, how can i notify it?"
8,"someone stole my account password, what should i do to recover it?"
6,"I can't understand you, how do I contact a human?"
3,can you tell me how I can get some bills?
4,"I want to check the status of my order, what should I do?"
9,"I ordered something, help me modify my order"
1,can i register more than one account with a single email address ?
1,can I register two online accounts with a single email address?
1,"I have no account, what can I  do to register?"
0,where to inform of an issue paying
10,can u ask an asgent to remove my account?
5,"the event was postponed, can i get a reimbursement?"
2,I want to know what the email address to contact Client Service is
0,"i have an issue paying for my online order, how can i report it?"
11,can u ask an agent where i could make a complaint for a service?
11,can i lodge a complaint for a service?
12,"ask an agent where to write a review for a service, please"
0,"please, ask an agent if i can solve a fucking problem with my payment"
8,"someone stole my password, what do I have to do to reset it?"
9,"I ordered something, what should i do to change my order?"
3,"I want to request information about obtaining an invoice, please"
7,"i lost my invoices, how can i view them?"
6,"I do not understand you, I need help speaking with a person, please"
10,"I changed my mind and I would like to close my user account, please"
9,"I bought an item, what should I do to change my purchase?"
10,can u ask an agent where to cancel my user account?
13,"I don't know anything about your money back guarantee, can you tell me about it?"
2,contact customer service
11,help me file a consumer complaint for a service
3,tell me how to see some invoices
1,I need help creating an online account
8,"my account's been hacked, can I get  it back?"
11,"I don't like the service, I need help lodging a complaint"
7,"i lost my bills, what should i do to view them?"
0,"can u ask an agent where i can inform of issues making a payment, please?"
4,"please, ask an agent about the status of my purchase"
1,"I have no profile, what do I have to do to create one?"
4,"I want to check my orders, tell me how to do it"
10,i changed my mind and i wanna delete my user account
8,"I want to reset my password, can you help me?"
2,"I have a question, could you contact Client Service, please?"
7,I can't find my fucking invoices and I would like to view them
1,"I have no user account, create one, please"
8,"my account's been hacked, what do I have to do to recover it?"
7,"i didn't receive my invoice, view it"
3,how can I request a bill?
3,help me obtain an invoice
4,"i want to track my order, what should i do?"
1,"I have no account, how do I open one?"
3,what information do you have about seeing some bills?
3,tell me if I can obtain a bill
7,"i wanna see my invoice, can u help me?"
13,can you find information about your reimbursement policy?
5,"the game was cancelled, could i obtain a reimbursement?"
8,someone stole my password and i want to reset it
9,"I bought a product, help me change my order"
13,"I'm interested in your money back guarantee, can you tell me about it?"
1,"I have no online account, open one"
12,i want to leave an comment
13,"I'm interested in your reimbursement policy, can you tell me about it?"
1,I want to know if I can register more than one profile with a single email
3,I need information about requesting a bill
5,"the concert was cancelled, can I get a reimbursement?"
0,"I have an issue making a payment, what can I do?"
8,"I forgot my password, what can I do?"
5,"the concert was postponed, can I obtain a reimbursement?"
7,"I lots my invoice, how can Iview it?"
1,ask an agent where to create an account
9,"I bought an item, what do I have to do to modify my order?"
6,"you aren't helping, what should I do to contact a human?"
5,"the game was postponed, can u help me?"
8,"I forgot my account password , reset it"
6,o want to contact a human
3,I want to know where to obtain an invoice
10,"i changed my mind, can i remove my profile?"
10,"I don't want my fucking account, how do I remove it?"
5,where to get a refund
7,i lost my bills and i wanna check them
4,"do you mind asking an agent if i can check my fucking order, please?"
3,is it possible to get an invoice?
4,tell me where I can check my delivery
0,"I have a problem making a payment with card, help me report it"
12,"I'm happy with the service, can you lodge an opinionm?"
4,"please, can you tell me how to check my delivery?"
6,you aren't helping and I want to contact a human
6,"i cant understand you, what should i do to contact a fucking human agent?"
5,"I ned a refund, can I obtain one?"
9,"I purchased an item, how can I modify my purchase?"
1,tell me if I can register two profiles with the same email address
5,the show was postponed and i wanna obtain a refund
0,"I have an issue when trying to make a payment, what do I have to do to inform of it?"
4,can u ask an agent how I could know where my packages are?
2,can you tell me the phone number to contact client service?
2,"i want information, help me contact customer support"
5,ask an agent how to request a reimbursement
11,how can I lodge a consumer complaint?
2,can you tell me the number to contact Client Service?
2,help me call Customer Service
7,"i didn't receive my invoices, can u check them?"
11,where to file a complaint
4,"i want to check my shipments, can you tell me where to do it?"
0,"I got an error message when I attempted to make a payment, but I was charged anyway, how can I notify it?"
0,"I got an error when I trued to pay, but I was charged anyway, notify it"
13,ask an agent how i can see their money back policy
10,"I don't want my user account, what do I have to do to close it?"
0,"I have an issue when trying  to pay with card, how do I inform of it?"
0,how do I inform of fucking problems paying?
5,where do I request a reimbursement?
7,"I lost my bills, how do I view them?"
10,"I do not want my fucking user account, what do I have to do to remove it?"
12,"I'd like to make a comment, what can I do?"
5,"the ahow was cancelled, can u help me?"
9,"do you mind asking an agent where I can modify my order, please?"
6,youre not helping and i wanna talk to a human
3,"I want to request a bill, tell me how to do it"
0,"i get an error message when i attempt to pay for my online order, what can i do?"
11,how do I lodge n consumer complaint?
13,how do I view your money back guarantee?
10,I changed my mind and I want to cancel my online account
13,"I need help checking your money back policy, please"
5,"the event was postponed, what should i do to request a refund?"
11,I'm not happy with the service and I want to submit a complaint
0,how to noitfy payment issues
8,"my user account weas hacked, and I need help getting it back , please"
12,"i wanna lodge an poinion, what can i do?"
11,"please, ask an agent if i could lodge a consumer complaint"
2,can you tell me what the free phone number of Customer Service is?
2,send an email to Customer Service
5,"the game was cancelld, what can I do to obtain a refund?"
13,id like to view your money back policy
12,how can I leave a comment for  a service?
8,my online account's been hacked and I want to recover it
3,i want to know if i can see an invoice
7,"I can't find my bills, show them"
7,where to viewmy invoices
11,im not happy with the servicfe and i wanna submit a complaint
7,"I lost my invoices, how can I see them?"
6,"I can't understand you, can you contact a human?"
1,can u ask an agent if i can open as user account?
8,"my user account's been hacked, what should I do to recover it?"
12,"I want to submit a review for a service, what should I do?"
8,"I can't remember my password, could I retrieve it?"
2,"can you give me information about the fucking mail address to contact Client Service, please?"
8,"my user account was hacked, can u help me?"
3,tell me if i can get an invoice
3,what information can you tell me about downloading a bill?
2,show me the number of Customer Service
1,"I want an account, what do I have to do?"
4,is my order out for delivery?
5,"the show was postponed, how do i get a refund?"
3,i wanna know how to see some invoices
5,where can i obtain a refund?
12,where do I write a comment for a service?
9,"I purchased a product, how may I modify my purchase?"
2,tell me what the number of Client Service is
1,"I've got no online account, what can I do to register?"
3,what information can you tell me about seeing some invoices?
3,how do  I get some invoices ?
1,"i need a user account, what should i do?"
12,"I want to lodge a comment for a service, what should I do?"
3,"could you tell me how to download a bill, please?"
5,"the concert was postponed, can you help me?"
13,I don't know anything about your refund policy and I need information about it
6,"you  aren't helping, what should I do to contact a human agent?"
10,"I don't want my user account, what do I have to do to cancel it?"
2,"I have a question, what should I do to speak with Client Service ?"
10,"i dont want my profile , i need help closing it"
0,"i have a problem paying, can u inform of it?"
9,"i purchased  an item, how can i modify my order?"
8,"i lost my password, i need help recovering it"
2,show me the free phone number to contact Customer Service
7,"I want to see my invoice, what can I do?"
6,"I don't understand you, how can I talk to a person?"
11,"I want to file a consumer complaint, can you help me ?"
2,"I need information, how do I call Customer Service?"
0,can u sak an agent where i can notify fucking issues making a payment?
4,"I would like to check my shipment, could you tell me where I can do it, please?"
11,"im discontent with the service, make a complaint"
2,"I have a question, can you send an email to Customer Support, please?"
11,I want to file a complaint for a service
3,help me request some invoices
6,could I talk to a human?
6,"could u speak with a person, please?"
6,"I can't understand you, how can I talk to someone?"
8,"please, ask an agent how to reset my account password"
4,where can I check my order?
3,"I want to request an invoice, tell me how to do it"
11,"i dont like the service, how can i make a complaint?"
8,"my account was haked, what do I have to do to recover it?"
13,I want to view your money back guarantee
7,"i can't find my bills, what do i have to do to view them?"
7,"I can't find my invoices, how can I view them?"
12,"I'm happy with the service, what should I do to submit a comment?"
0,"please, could u ask an agent how i could notify a problem making a payment?"
9,"I made a mistake, I need help modifying my purchase"
10,I want to close my account
8,"someone stole my password, can u recover it?"
1,"I need an online account, can I open one?"
7,"I lost my invoice, how can I see it?"
10,"could you ask an agent to close my account, please?"
10,where do I deelte my online account?
2,ask an agent if i can contact customer support
7,ask an agent where to view my bills
11,"I don't like the service, can you lodgea consumer complaint?"
4,where is my order?
10,where could i delete my fucking profile?
9,"I ordered a product, what can I do to change my order?"
2,I have a question and I want to talk to Customer Support
7,"i can't find my bill, how can i view it?"
5,"the concert was cancelled, help me request a refund"
0,"I got an error message when I tried to make a payment, but I was charged anyway, how can I report it?"
1,"I have no user account , can I open one?"
